Linea,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
ACA 303,ACA,Variedad,CBN,2004,CNN,NO,NO,2*,7+8,5+10
ACA 304,ACA,Variedad,CBN,2004,CNN,NO,NO,2*,7+8,5+10
ACA 601,ACA,Variedad,CBN,2004,CNN,NO,NO,2*,7+8,5+10
ACA 801,ACA,Variedad,CBN,2004,CS,NO,NO,2*,7+9,5+10
AGUARA,BUCK,Variedad,CBN,2004,CNN,NO,NO,2*,17+18,5+10
GUATIMOZIN,BUCK,Variedad,CBN,2004,CNN,NO,NO,2*,7+8,5+10
MEJORPAN,BUCK,Variedad,CBN,2004,CNN,NO,NO,2*,7+8,5+10
BAGUETTE 11,NIDERA,Variedad,CBN,2004,CS,NO,NO,2*,7+8,5+10
BAGUETTE 13,NIDERA,Variedad,CBN,2004,CS,NO,NO,2*,7+9,5+10
BIOINTA 1000,INTA,Variedad,CBN,2004,CNN,NO,NO,1,7+8,5+10
BIOINTA 1001,INTA,Variedad,CBN,2004,CS,NO,SI,1,7+9,5+10
BIOINTA 3000,INTA,Variedad,CBN,2004,CS,NO,NO,1,7+8,5+10
BIOINTA 3002,INTA,Variedad,CBN,2004,CS,NO,NO,1,7+8,5+10
BIOINTA 3003,INTA,Variedad,CBN,2004,CS,SI,NO,2*,7+9,5+10
INIA CHURRINCHE,INIA,Variedad,CBN,2004,CS,NO,NO,2*,7+8,5+10
INIA TIJERETA,INIA,Variedad,CBN,2004,CS,NO,NO,2*,17+18,5+10
CAPRICORNIO,KLEIN,Variedad,CBN,2004,CS,NO,NO,2*,7+8,5+10
ESCORPION,KLEIN,Variedad,CBN,2004,CS,NO,H,1,7+9,5+10
GAVILAN,KLEIN,Variedad,CBN,2004,CS,NO,SI,2*,7+9,5+10
PROTEO,KLEIN,Variedad,CBN,2004,CS,NO,NO,1,7+9,5+10
ONIX,DON MARIO,Variedad,CBN,2004,CS,NO,NO,2*,7+9,5+10
PROINTA GAUCHO,INTA,Variedad,CBN,2004,CS,NO,SI,1,7+9,5+10
PROINTA GRANAR,INTA,Variedad,CBN,2004,CS,NO,SI,2*,13+16,5+10
J01006,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,NO,2*,7+9,5+10
JN01005,INTA Saenz Peña,Linea,CBN,2004,CS,NO,NO,1,7+9,5+10
V00817,INTA Bordenave,Linea,CBN,2004,CNN,NO,NO,2*,17+18,5+10
J02001,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,NO,2*,7+9,2+12
J02006,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,NO,1,7+9/17+18 ,2+12
J02011,INTA Marcos Juarez,Linea,CBN,2004,CNN,NO,NO,2*,7+8,5+10
J03001,INTA Marcos Juarez,Linea,CBN,2004,CS,SI,NO,2*,7+9,5+10
J03002,INTA Marcos Juarez,Linea,CBN,2004,CS,SI,NO,2*,7+9,5+10
J03004,INTA Marcos Juarez,Linea,CBN,2004,CS,SI,NO,2*,7+9,5+10
J03006,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,NO,2*,17+18,5+10
J03012,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,SI,2*,7+9,5+10
J03013,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,SI,2*,7+9,5+10
J03019,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,NO,1,7+9,5+10
J04005,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,SI,2*,7+9,5+10
J04006,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,NO,2*,17+18,5+10
J04010,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,NO,1,7+9,5+10
J04011,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,SI,1,7+8,5+10
J04012,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,NO,2*,7+9,5+10
JN02008,INTA Saenz Peña,Linea,CBN,2004,CS,NO,SI,1,7+8,5+10
JN02010,INTA Saenz Peña,Linea,CBN,2004,CNN,NO,SI,1,7+9,5+10
JN03008,INTA Saenz Peña,Linea,CBN,2004,CS,SI,NO,1,7+8/17+18,5+10
JN03016,INTA Saenz Peña,Linea,CBN,2004,CS,NO,NO,2*,7+9,5+10
JN04001,INTA Saenz Peña,Linea,CBN,2004,CS,NO,NO,2*,7+8,5+10
JN04002,INTA Saenz Peña,Linea,CBN,2004,CNN,NO,NO,2*,17+18,5+10
JN04003,INTA Saenz Peña,Linea,CBN,2004,CS,NO,SI,1,7+9,5+10
JN04004,INTA Saenz Peña,Linea,CBN,2004,CNN,NO,SI,1,7+8,5+10
JN04007,INTA Saenz Peña,Linea,CBN,2004,CS,NO,SI,2*,7+9,5+10
JN04008,INTA Saenz Peña,Linea,CBN,2004,CNN,NO,SI,1,7+8,5+10
JN04009,INTA Saenz Peña,Linea,CBN,2004,CNN,NO,SI,1,7+8,5+10
JN04013,INTA Saenz Peña,Linea,CBN,2004,CS,NO,NO,1,17+18,5+10
JN04014,INTA Saenz Peña,Linea,CBN,2004,CS,NO,NO,2*,7+9,5+10
JN04015,INTA Saenz Peña,Linea,CBN,2004,CS,NO,NO,2*,7+9,5+10
JN04016,INTA Saenz Peña,Linea,CBN,2004,CS,NO,NO,1,7+8/17+18,5+10
B10901,INTA Balcarce,Linea,CBN,2004,CS,NO,NO,2*,7+8,5+10
B11000,INTA Balcarce,Linea,CBN,2004,CNN,NO,SI,2*,7+9,5+10
B11201,INTA Balcarce,Linea,CBN,2004,CS,NO,NO,2*,7+9,5+10
B12800,INTA Balcarce,Linea,CBN,2004,CS,NO,SI,2*,7+9,2+12
B16500,INTA Balcarce,Linea,CBN,2004,CNN,NO,NO,2*,7+8,5+10
P04378,INTA Pergamino,Linea,CBN,2004,CS,NO,NO,2*,7+8,5+10
P04430,INTA Pergamino,Linea,CBN,2004,CS,NO,SI,2*,7+9,5+10
P04476,INTA Pergamino,Linea,CBN,2004,CS,NO,SI,2*,7+9,2+12
P04528,INTA Pergamino,Linea,CBN,2004,CS,NO,NO,1,7+8,5+10
P04529,INTA Pergamino,Linea,CBN,2004,CS,NO,SI,1,7+9,5+10
P04530,INTA Pergamino,Linea,CBN,2004,CS,NO,SI,2*,17+18,5+10
P04575,INTA Pergamino,Linea,CBN,2004,CS,NO,SI,2*,7+9,5+10
P04578,INTA Pergamino,Linea,CBN,2004,CS,NO,SI,2*,7+9,5+10
R04001,INTA Marcos Juarez,Linea,CBN,2004,CS,SI,NO,2*,7+8,5+10
R04002,INTA Marcos Juarez,Linea,CBN,2004,CS,SI,NO,2*,7+8,5+10
R04003,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,SI,1,7+9,5+10
R04004,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,SI,1,7+9,5+10
R04029,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,NO,1,7+8,5+10
R04033,INTA Marcos Juarez,Linea,CBN,2004,CS,NO,NO,1,7+8,5+10
T00100,INTA Parana,Linea,CBN,2004,CS,NO,SI,2*,7+9,5+10
T00101,INTA Parana,Linea,CBN,2004,CS,NO,SI,2*,7+9,5+10
T00108,INTA Parana,Linea,CBN,2004,CS,NO,SI,2*,7+9,5+10
T00110,INTA Parana,Linea,CBN,2004,CS,NO,NO,2*,17+18,5+10
T00114,INTA Parana,Linea,CBN,2004,CS,NO,NO,1,7+8,5+10
T00115,INTA Parana,Linea,CBN,2004,CS,NO,SI,2*,7+9,5+10
T00116,INTA Parana,Linea,CBN,2004,CS,NO,SI,1/2*,7+8,5+10
V00697,INTA Bordenave,Linea,CBN,2004,CS,NO,NO,1,7+9,5+10
V00713,INTA Bordenave,Linea,CBN,2004,CS,NO,SI,2*,7+8,5+10
V00770,INTA Bordenave,Linea,CBN,2004,CS,NO,SI,2*,7+8,5+10
V00833,INTA Bordenave,Linea,CBN,2004,CS,NO,NO,1,7+8,5+10
V00858,INTA Bordenave,Linea,CBN,2004,CS,NO,NO,1,7+8,5+10
W01039,INTA Barrow,Linea,CBN,2004,CNN,NO,NO,2*,7+8,5+10
W01041,INTA Barrow,Linea,CBN,2004,CNN,NO,NO,2*,7+8,5+10
W01042,INTA Barrow,Linea,CBN,2004,CNN,NO,NO,2*,7+8,5+10
